LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;110;9;0,043228788;40,83%;2,046955423;0,005117389
0,2;0,2;101;9;0,054572083;54,10%;2,432962281;0,006082406
0,01;0,3;370;28;0,042339616;37,98%;1,94590072;0,004864752
0,3;0,25;511;40;0,056505333;56,43%;2,638305985;0,006595765
0,05;0,15;161;13;0,041696647;37,61%;2,003758915;0,005009397
;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE
;;;26;0,040084831;33,61%;2,169534403;0,005423836
;;;24;0,040728557;34,75%;2,279895159;0,005699738
;;;23;0,040568582;33,91%;2,098451434;0,005246129
;;;25;0,041940338;36,74%;2,240178507;0,005600446
;;;23;0,041073624;34,39%;2,215118203;0,005537796
;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE
;;;55;0,042076208;38,11%;2,144375494;0,005360939
;;;23;0,044565263;40,95%;2,427800216;0,006069501
;;;40;0,041932693;37,97%;2,106495285;0,005266238
;;;14;0,04196773;38,13%;2,124353276;0,005310883
;;;53;0,042051196;38,42%;2,1375729;0,005343932
;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE
;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;101;8;0,045633421;43,25%;2,495447518;0,006238619
0,2;0,2;562;41;0,049940362;49,59%;2,708476614;0,006771192
0,01;0,3;322;22;0,044311555;39,84%;2,38882558;0,005972064
0,3;0,25;365;26;0,052964217;52,29%;2,759643456;0,006899109
0,05;0,15;166;12;0,044056574;39,99%;2,438421402;0,006096054
;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE
;;;25;0,041342642;37,55%;2,789012427;0,006972531
;;;23;0,04148048;39,19%;2,851256214;0,007128141
;;;22;0,041658453;36,43%;2,538065366;0,006345163
;;;22;0,040548315;36,53%;2,752839926;0,0068821
;;;23;0,042076575;37,35%;2,736011871;0,00684003
;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE
;;;32;0,042981096;38,95%;2,608269355;0,006520673
;;;5;0,043537269;39,72%;2,62469751;0,006561744
;;;48;0,042631053;38,59%;2,506131528;0,006265329
;;;29;0,042311228;38,95%;2,460975507;0,006152439
;;;53;0,042829099;38,88%;2,53443561;0,006336089
;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE
;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;249;13;0,027246091;35,30%;0,494266003;0,001647553
0,2;0,2;186;10;0,028344031;34,03%;0,557347261;0,001857824
0,01;0,3;589;32;0,032211726;41,96%;0,735087097;0,00245029
0,3;0,25;184;10;0,02974042;34,55%;0,631415899;0,00210472
0,05;0,15;317;17;0,028054896;36,59%;0,512652975;0,001708843
;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE
;;;17;0,027229736;35,76%;0,492169171;0,001640564
;;;17;0,027271238;34,63%;0,503215351;0,001677385
;;;17;0,029268094;36,94%;0,562346506;0,001874488
;;;17;0,025933393;34,04%;0,449760785;0,001499203
;;;17;0,027803392;34,97%;0,518621626;0,001728739
;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE
;;;38;0,025883721;35,79%;0,473023287;0,001576744
;;;39;0,025656421;34,73%;0,464891792;0,001549639
;;;2;0,025830908;35,35%;0,470911546;0,001569705
;;;25;0,025899052;34,81%;0,474097523;0,001580325
;;;10;0,025549589;34,79%;0,460106727;0,001533689
;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE
